_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
87,,Agriturismo Moschella,Azienda Agricola Gallo srl,Enogastronomia,Agriturismi senza ricettività | Ristorazione | Valorizzazione e promozione dell'enogastronomia pugliese,"Servizi di ristorazione connessi alle aziende agricole | Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071020,Cerignola,Contrada Moschella,S.n.,ga.dany@gmail.com,3515583318,,antonellagallo@pec.it,www.agriturismomoschella.com,francese|inglese|italiano,Agriturismo Moschella,"L'agriturismo Moschella é l'espressione di accoglienza dell'azienda agricola biologica Gallo srl.
La Masseria é un'antica Posta della Transumanza situata nella valle dell'Ofanto, a soli 100 m dal fiume.
La sala di ristorazione si colloca nell'antica stalla, mentre le stanze sono state ricavate dalle camere che in tempi passati accoglievano i pastori.
L'agriturismo Moschella é Masseria didattica dal 2019 e propone diversi laboratori aperti a scolaresche, gruppi e famiglie, su prenotazione.
Si parla anche spagnolo",,https://dms.ect.regione.puglia.it/image/32797/foto1-32797.JPG,https://dms.ect.regione.puglia.it/image/32797/foto2-32797.JPG,https://dms.ect.regione.puglia.it/image/32797/foto3-32797.jpg,,,,,2023-05-10 16:44:00+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,AGRITURISMO PEDONE,AGRICOLA PEDONE S.S.,Enogastronomia,Agriturismi senza ricettività,Servizi di ristorazione connessi alle aziende agricole,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072036,Putignano,S.C.FEMMINA MORTA,,pedoneml@virgilio.it,3333305124,,,,italiano,AGRITURISMO PEDONE,AGRITURISMO SENZA RECETTIVITA CON CUCINA TIPICA E PRODOTTI AZIENDALI,,,,,,,,,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,agriturismo piccapane,azienda agricola piccapane di giuseppe pellegrino,Enogastronomia,Agriturismi senza ricettività | Ristorazione,"Servizi di ristorazione connessi alle aziende agricole | Servizi di ristorazione (ristoranti, catering, ...)",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075026,Cutrofiano,CONTRADA SPADAFORE,SNC,info@piccapane.it,3206448586,,agricolapiccapane@pec.it,,,,,,,,,,,,,2023-05-10 16:44:03+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Agriturismo Posta Mangieri,Società agricola Piano Mangieri di Rossella Mastromauro Sas,Enogastronomia,Agriturismi senza ricettività,Servizi di ristorazione connessi alle aziende agricole,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072020,Corato,Strada esterna Piede Piccolo,41,info@agriturismopostamangieri.com,0802149988,,pianomangieri@legpec.it,,italiano,Agriturismo Posta Mangieri,"Azienda agricola con annesso ristorante di cucina tipica e sapori autentici presentati con cura. Ampi gli spazi esterni, in piena Murgia barese, ai confini del parco nazionale con panorama mozzafiato...",,,,,,,,,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Agriturismo Regina delle Volpi,Lotito Angela,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110001,Andria,Contrada Coda di Volpe,snc,reg.dellevolpi@libero.it,3470007887,,,,Italiano,agriturismo,,,,,,,,,,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,AGRITURISMO STELLA RENA DI CATAMO GIOVANNI,IMPRESA INDIVIDUALE,Enogastronomia,Agriturismi senza ricettività,Servizi di ristorazione connessi alle aziende agricole,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075067,Sanarica,VIA INGONGOLI,6,AGRITURISMOSTELLARENA@LIVE.IT,3881752464,,AZIENDAAGRITURISTICACATAMO@PEC.IT,,,,,,,,,,,,,2023-05-10 16:44:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,AGRITURISMO TENUTE DIMMITO,DIMMITO LORENZO,Enogastronomia,Agriturismi senza ricettività,Servizi di ristorazione connessi alle aziende agricole,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071020,Cerignola,STRADA P.LE 77 KM 9.00,SNC,lorenzodimmito990@gmail.com,3451215003,,lorenzodimmito@pec.it,,,,,,,,,,,,,2022-02-14 09:54:48+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Agrosì Azienda Agricola,Agrosì Azienda Agricola,Enogastronomia,Valorizzazione e promozione dell'enogastronomia pugliese,Servizi di vendita e/o produzione con degustazione di prodotti tipici locali,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075081,Supersano,Via Vittorio Emanuele,103,info@agrosi.it,3288912212,,giuseppeagrosi@pec.it,www.agrosi.it,inglese|italiano,Agrosì Olio Bio Azienda Agricola,"In Puglia, nel cuore del Salento terra dei due mari, la produzione di Olio Extravergine ha radici antiche come quelle della famiglia Agrosì, la cui azienda agricola è impegnata in questa attività da oltre due secoli.
Senso della tradizione, rispetto dell'ambiente e capacità innovativa sono gli ingredienti di cui l'azienda si avvale nella cura degli oliveti dai quali si produce un pregiato Olio Extravergine, dalle caratteristiche inconfondibili, determinate da particolari accorgimenti in fase di raccolta e di molitura.
Percorrendo il vasto territorio del Salento, l¿olivo diventa presto un silenzioso compagno di viaggio, protagonista assoluto del paesaggio e dell¿economia di tanti piccoli paesi.
Qui Giuseppe Agrosì ha ripreso la coltura olivicola messa in piedi dal nonno, con a disposizione 5000 alberi d'olivo centenari di cui si occupa personalmente. L'impegno e l'esperienza produttiva che in famiglia hanno profonde radici, si uniscono all'entusiasmo della nuova generazione, per concretizzarsi in questo prodotto che miscela accuratamente il nuovo al tradizionale.
L¿azienda dispone di un frantoio proprio, per cui le olive, raccolte a mano appena invaiate, vengono portate al frantoio per l'estrazione dell'olio. Seguono la conservazione in recipienti inox e l'imbottigliamento, presso gli stessi locali.
L'Olio Extravergine Agrosì assicura buona qualità e spiccata personalità. Visivamente elegante, di colore verde-dorato, segue un profumo ampio, di bella composizione aromatica, che và dal fruttato, all¿erbaceo, alla mandorla verde.
Il processo gustativo è armonico, in sintonia con l'olfatto e ricco di persistenti fragranze vegetali. 
L'azienda dispone di un Bosco Didattico Riconosciuto dalla Regione Puglia, oltre a delle sale di degustazioni e aule didattiche presso le vecchie cantine di famiglia recuperate ad arte.",,https://dms.ect.regione.puglia.it/image/32679/foto1-32679.JPG,https://dms.ect.regione.puglia.it/image/32679/foto2-32679.jpg,https://dms.ect.regione.puglia.it/image/32679/foto3-32679.JPG,https://dms.ect.regione.puglia.it/image/32679/foto4-32679.JPG,https://dms.ect.regione.puglia.it/image/32679/foto5-32679.jpg,,,2023-05-10 16:43:59+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,aherostrato coop srl,coop aherostrato srl,"Arte, cultura e creatività | Mice e Wedding | Servizi utili di fruizione","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa | Mice | Servizi di prenotazione e altre attività di assistenza turistica","Attività ricreative, di intrattenimento e di divertimento | Biglietteria eventi culturali, sportivi e ricreativi | Creazioni artistiche e letterarie | Organizzatori professionali di congressi, eventi e fiere | Rappresentazioni artistiche | Servizi di traduzione e interpretariato",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,corso mazzini,21,herostrato.coop@gmail.com,3397354871,,aherostrato@pec.it,,,,,,,,,,,,,2023-05-10 16:44:00+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Aitinkiu,Associazione,Servizi utili di fruizione,Guide e accompagnatori turistici,Accompagnatori turistici | Guide turistiche,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Corso Mazzini,21,palmatot27@gmail.com,3458589288,,palmatot27@gmail.com,,,,,,,,,,,,,2023-05-10 16:43:58+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,ALBANUOVA VIAGGI SRLS,ALBANUOVA VIAGGI SRLS,Intermediazione e organizzazione,Agenzie di viaggi on line e tradizionali,Servizi Agenzie di viaggi on line e tradizionali,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071020,Cerignola,via giovanni falcone,,booking@albanuovaturismo.it,0885420683,,,,,,,,,,,,,,,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,ALBATRAVEL LECCE,ALBATRAVEL LECCE SRL,Intermediazione e organizzazione,Tour operator,Servizi di Tour Operator,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075020,Cavallino,Via E. De Candia,39,incoming.le@albatravel.it,+ 39 0832 349316,,,www.albatravelapulia.com,,,"Albatravel Lecce è un Tour Operator specializzato nella vendita on-line e off-line di prenotazioni alberghiere e servizi turistici di ogni genere e parte di Albatravel Group

Attraverso il nostro sistema è possibile abbinare albergo, visite,
escursioni, assicurazioni, autonoleggio e altro ancora, in pacchetti
ricchi e articolati.

La nostra attuale offerta di incoming comprende i seguenti servizi:

prenotazione di Alberghi, Ville e casali, Dimore storiche, Masserie e agriturismi per individuali e gruppi
Visite guidate

Noleggio Auto Trasferimenti con autista privato
Biglietti, ingressi, carte trasporto, parchi divertimento, ...

Corsi cucina nazionale e tipica
Degustazione di olio, vino, prodotti tipici
Escursioni per croceristi

Albatravel Apulia is a provider of accomodation and destination services in Apulia  for the business  and leisure market , serving travel trade professionals worldwide.We rely on Albatravel Group, a wide network of offices from the central office in Rome, to the offices in Milan, Venice, Genoa, Florence, Pescara, Lecce and Messina. Know how, technology, and dedication are the grounds on which we have designed a complete web site, that , by offering a wide range of products, ensures the customer with constant assistance and help throughout the territory.
Services

Online reservation of accomodations, transfers, private sightseeing, regular guided tours, excursions and outdoor activities
Wide selection of products:

    Accomodations of all categories and budgets with excellent standards, ranging from the main cities to the smallest and unkown towns and corners of Apulia
    Private transfers and shuttle services to accommodate different budgets and requirements
    Private tailormade tours and scheduled tours of the most beautiful parts of Apulia including cooking lessons, wine tours, cycling, shopping tours, balloon flights and much more
    Solutions for Business travel and Leisure Travel

Albatravel Apulia staff  is always available to provide assistance with the product selection, the booking process, customers requirements and ad-hoc requests. A website offering management tools developed for the needs of our partners

Albatravel Apulia allows you to book your services and assemble an itinerary with a few clicks. Our main objective is your customer's satisfaction. Through Albatravel Apulia you can build your business in full autonomy, helping your clients to make a dream come true and taking advantage of our expertise and know how and, when needed, our assistance. Should you be located in the most remote part of Apulia , you can still offer your clients high quality holidays, by making yours our knowledge and expertise.

You will be able to offer accomodations from 1 to 5 star hotels, small properties located in the remote corners of Apulia, luxury resorts and Spas, wine tastings, cycling tours, cooking lessons or simply a visit of one of the many archaeological sites and much more.

Our promise is to show competitive and clear prices, supported by a continuous search for products and an accurate selection of the suppliers to allow our partners to offer immediate solutions and finalise the offer to the end customer. Our menu options will allow you to personalize your offer including the customisation of the travel documents.

The mission of Albatravel Apulia is the success of its clients. Your customer's satisfaction is our priority.",,,,,,,40.323654,18.171694,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,ALBE D'EST,"ALBE D'EST DI VITO CARENZA E GIOVANNI BRUNO, SERGIO CASCIONE S.N.C.",Intermediazione e organizzazione,Tour operator,Servizi di Tour Operator,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075031,Gallipoli,Vico Monti,2,info@albedest.it,3317269066,,,www.pugliaround.com - www.albedest.it,,,"Agenzia Viaggi incoming in Puglia per gruppi e individuali, specializzata nella creazione di nuovi itinerari turistici dall'adattamento degli articoli pubblicati su www.pugliaround.com",,,,,,,39.988617,18.092646,2023-01-24 18:07:04+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Alberosole,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,"Corso Vittorio Emanuele II,",13,info@alberosole.com,0805235446,,,,,Alberosole,,,,,,,,41.125877,16.866896,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,ALBERTO VANNETTI,,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa",Creazioni artistiche e letterarie | Gestione di strutture artistiche,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074005,Cisternino,c.da specchia,33,alberto.vannetti@yahoo.it,3331105808,,,,,,,,,,,,,,,2023-05-10 16:43:55+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Al borgo antico,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072039,Sammichele di Bari,Via G. Cesare,58-62,info@alborgoantico.com,0808917227,,,,,Al Borgo Antico,,,,,,,,40.88842,16.949099,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,Al Canale,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Discesa Vasto - Taranto,,g.laggiard@alice.it,0994764201,,,,,,,,,,,,,40.474155,17.234882,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Al Canale,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Scesa Vasto,s.n.c.,g.laggiard@alice.it,0994764201,,,,,Al Canale,,,,,,,,40.474155,17.234882,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,Alchimie,Alchimie di Salvatore Fabio Giannace & C. snc,Mice e Wedding,Wedding,Wedding e event planner,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072018,Cellamare,via einaudi,,info@alchimieventi.com,3478772139,,,,,,,,,,,,,41.018547,16.925339,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,ALESSANDRA DI MEO,ALESSANDRA DI MEO,Servizi utili di fruizione,Guide e accompagnatori turistici,Accompagnatori turistici | Guide turistiche,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110009,Trani,VIA CITTA' MILANO,,alessandradimeo86@gmail.com,3485441069,,,,,,,,,,,,,41.271572,16.427876,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,Alessandro Buongiorno,,Mice e Wedding | Servizi utili di fruizione,Guide e accompagnatori turistici | Mice,"Guide turistiche | Organizzatori professionali di congressi, eventi e fiere",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072020,Corato,Piazza Francesco Saverio Nitti,9,a.buongiorno2018@gmail.com,3395858484,,,,inglese|italiano,Comitato Via Francigena del Sud,"Il Comitato ¿Via Francigena del Sud - Corato¿ si è costituito nell¿aprile del 2019 per la salvaguardia, la promozione turistica, la tutela e valorizzazione del patrimonio paesaggistico e culturale del tratto della Via Francigena del Sud (direttrice ¿Via Traiana¿) che attraversa la Città di Corato. I suoi componenti vantano una lunga esperienza sul tema, in quanto amministratori della Città, esperti di pianificazione turistica, cartografia e mobilità. Il Comitato agisce in un¿ottica inclusiva di informare capillarmente la popolazione, di incentivare la partecipazione di chiunque voglia aderire al Comitato stesso, di promuovere la sensibilità delle comunità vicine e degli organi istituzionali preposti, soprattutto attraverso la sperimentazione concreta dei cammini. Il Comitato opera con il coinvolgimento di altre Associazioni, Scuole e Istituzioni pubbliche e private, della Città di Corato e dei comuni limitrofi, proponendosi quale referente territoriale per il coordinamento dell¿accoglienza e lo sviluppo di reti di cooperazione, di partecipare a iniziative e tavoli istituzionali.",,https://www.dms.puglia.it/digitalmanagementsystem/image/32700/foto1-32700.gif,,,,,,,2023-05-10 16:43:57+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Alessandro Buongiorno,,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa","Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Creazioni artistiche e letterarie | Rappresentazioni artistiche",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072020,Corato,Piazza Francesco Saverio Nitti,9,a.buongiorno2018@gmail.com,3395858484,,,,,,,,,,,,,,,2023-05-10 16:43:57+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,alessandro perrone,ditta individuale perrone alessandro,"Enogastronomia | Servizi utili di fruizione | Sport, natura e benessere",Guide e accompagnatori turistici | Natura | Sport e benessere | Valorizzazione e promozione dell'enogastronomia pugliese,Accompagnatori turistici | Guide turistiche | Servizi a fini ricreativi legati ad avventura e natura | Servizi per la persona e per il benessere | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074009,Latiano,via torre s. susanna,110,aperrone@ymail.com,3897876084,,aleperrone@pec.it,https://pugliaexperience.wordpress.com/,inglese|italiano,PugliaExperience: per scoprire la Puglia autentica,"Guida turistica (abilitata in italiano e inglese), guida ambientale escursionistica AIGAE, esperto di enogastronomia (ho conseguito il I° livello di assaggiatore di olio d¿oliva vergine ed il III° livello sommelier AIS), accompagnatore turistico, animatore ambientale, organizzazione eventi, formazione professionale.",,https://www.dms.puglia.it/digitalmanagementsystem/image/34391/foto1-34391.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/34391/foto2-34391.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/34391/foto3-34391.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/34391/foto4-34391.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/34391/foto5-34391.jpg,,,2023-05-10 16:43:55+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,alessandro perrone,PugliaExperience,Servizi utili di fruizione,Guide e accompagnatori turistici,Guide turistiche,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074009,Latiano,via torre ss,110,aperrone@ymail.com,3897876084,,aleperrone@pec.it,,,,,,,,,,,,,2023-05-10 16:44:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Alessandro Perrone,Alessandro Perrone,"Mice e Wedding | Servizi utili di fruizione | Sport, natura e benessere",Guide e accompagnatori turistici | Natura | Wedding,Accompagnatori turistici | Guide turistiche | Servizi a fini ricreativi legati ad avventura e natura | Wedding e event planner,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074009,Latiano,Via Torre S. Susanna,110,aperrone@ymail.com,3897876084,,,,,Puglia Experience,,,,,,,,40.54986,17.718576,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,Alessio Montanelli,Alessio Montanelli,"Arte, cultura e creatività | Sport, natura e benessere",Gestione e servizi di valorizzazione culturale e creativa | Natura,"Attività ricreative, di intrattenimento e di divertimento | Servizi a fini ricreativi legati ad avventura e natura",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073012,Manduria,Via Federico Schiavoni,10,alessio.montanelli@hotmail.com,3387740305,,alex57465@pec.it,,,,,,,,,,,,,2023-05-10 16:43:56+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Alex,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Piazzetta Arco di Trionfo,snc,alexbaristorante@tiscali.it,0832243619,,,,,Alex,,,,,,,,40.351517,18.175016,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Al Faro,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Via della Pineta,3,info@alfarotaranto.it,0994714444,,,,,Al Faro,,,,,,,,40.4269,16.888203,2019-07-01 11:46:46+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,AL FARO,SRL,Enogastronomia | Servizi utili di fruizione,Ristorazione | Servizi di prenotazione e altre attività di assistenza turistica,"Prenotazione e altre attività di assistenza turistica | Servizi di ristorazione (ristoranti, catering, ...)",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Via della Pineta,3/5,info@alfarotaranto.it,0994714444,,alfarosrl@pec.it,,,,,,,,,,,,,2023-05-10 17:56:18+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,AL FORNELLO DA RICCI,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074003,Ceglie Messapica,Contrada Montevicoli,snc,riccistor@libero.it,0831377104,,,,,Al Fornello da Ricci,,,,,,,,40.64433,17.51778,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,Alice Bottega,,Servizi utili di fruizione,Guide e accompagnatori turistici,Accompagnatori turistici | Guide turistiche,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075083,Surbo,Largo re Idomeneo,7/b,alicebottega@gmail.com,3406128523,,alicebottega@pec.it,,,,,,,,,,,,,2023-05-10 16:44:05+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,alla bua,associazione culturale alla bua,"Arte, cultura e creatività",Gestione e servizi di valorizzazione culturale e creativa,"Attività ricreative, di intrattenimento e di divertimento",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075016,Casarano,via capozza,80,irene@allabua.it,3492963332,,allabua@pec.it,,,,,,,,,,,,,2023-05-10 16:44:04+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Alle due Corti,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Corte dei Giugni,1,info@alleduecorti.com,0832242223,,,,,Alle Due Corti,,,,,,,,40.3548,18.17047,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,ALLTRADE BUSINESS,SRL,Intermediazione e organizzazione,Servizi di gestione di una destinazione (DMC) | Tour operator,Servizi di gestione di una destinazione (DMC) | Servizi di Tour Operator,n.d.,0,Non Disponibile,Non Disponibile,,,,00N.D.,Non Disponibile,Viale Antonio Ciamarra,174,info@ciaosolemiotour.com,3294958140,,,www.ciaosolemiotour.com,,,"DMC e Tour operator Incoming con specializzazione in Puglia, Calabria, Lazio, Toscana, Sicilia e Sardegna.
Turismo Gastronomico e Sostenibile",,,,,,,41.363327,15.693832,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
