_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
121,,Le Maldive di Vito Vergine,Lemaldive di Vito Vergine,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075066,Salve,Litoranea Pescoluse S.P.91,,info@maldivedelsalento.com,,,,www.maldivedelsalento.com,,MaldiVe del Salento,"Stabilimento balneare in un contesto naturale con vegetazione naturale e Dune costiere, ristorazione e sports",,,,,,,39.842842,18.216362,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Salve,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
122,,Le Maldive Due,Le Maldive Due s.r.l. unipersonale,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075066,Salve,Litoranea Pescoluse S.P.91,s.n.,vitovergine@gmail.com,3498520580,,,www.maldivedelsalento.com,,MaldiVe del Salento,"Stabilimento balneare, bar-yogurteria in spiaggia, attività e escursioni in mare, sabbia dorata finissima, spiaggia inimitabile",,,,,,,39.842842,18.216362,2019-07-01 00:00:00+02,3498520580,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Pescoluse di Salve,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
123,,Le Mar Village,Clabrun srl,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072022,Giovinazzo,Strada Statale 16,Km 780-850,info@lemarvillage.it,339 724 6618,Giovinazzo,clabrun@legalmail.it,,,,,,,,,,,,,2021-10-01 00:00:00+02,339 724 6618,https://dms.ect.regione.puglia.it/image/59813/logo-59813.png?type=logo,93.29.20,,,,Cucine | Servizi igienici | Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa | Porte di accesso facilmente manovrabili | Porte e finestre facilmente utilizzabili | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo,Parcheggi | Pavimentazione | Segnaletica,,Bar | Baby sitting | Punto ristoro | Ristorante,Internazionale | Tipica,,,,,Bari e la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,LE PALME BEACH CLUB,BELLI FRESCHI SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072030,Monopoli,CONTRADA PANATNELLI LOC. CAPITOLO,,amministrazione@masseriatorrecoccaro.com,347/6435693  -  0804829310,,,www.lepalmebeachclub.it,,LE PALME BEACH CLUB,STABILIMENTO BALNEARE CON  BAR E RISTORAZIONE,,,,,,,40.895325,17.373652,2023-01-23 00:00:00+01,347/6435693  -  0804829310,,,,,,,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Bari e la costa,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
125,,LIDO,LA ZANZARA,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074007,Fasano,VIA EROI DEL MARE,,WEITHALER.ERIKA@HOTMAIL.IT,3407113904,,,,,LIDO LA ZANZARA,"BAR - LIDO CON OMBRELLONI, SEDIE, SDRAIO E LETTINI. NOLEGGIO PEDALO'.",,,,,,,40.843525,17.464893,2019-07-01 00:00:00+02,3407113904,,,,,,,,,,,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,16,,,TORRE CANNE-FASANO,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
126,,Lido 2001 beach,San Menna s.a.s. di Paolino Maria,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071059,Vico del Gargano,Lungomare Andrea Pazienza,,maria75paolino@gmail.com,3341318061,,,,,2001 Beach,stabilimento balneare,,,,,,,40.773262,17.327328,2023-09-28 00:00:00+02,3341318061,,,,,,Servizi igienici | Balconi e terrazze | Pendenza rampa,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,san menaio,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
127,,Lido 2 Pini,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071043,Rodi Garganico,Contrada Santa Barbara,,info@2pini.it,0884965661,,,www.2pini.it,,Lido 2 Pini,"Il lido 2 Pini riserva ai propri ospiti comfort e tranquillità, offrendo ombrelloni e lettini, servizio bar e animazioni con corsi di fitness e balli di gruppo sulle spiagge di Rodi Garganico, con estrema sicurezza grazie al servizio di vigilanza natanti.  Lo stabilimento balneare è anche attrezzato di area giochi per bambini per garantire il divertimento in riva al mare anche ai più piccoli. La sabbia dorata, il mare trasparente e il panorama di tutta la costa, con i caratteristici paesini di case arroccate, faranno da cornice alle vostre giornate di sole sulle spiagge del Gargano.",,,,,,,41.926266,15.866462,2023-09-14 00:00:00+02,0884965661,,,,,,Pavimenti non sdrucciolevoli | Servizi igienici,Pavimentazione | Parcheggi,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Rodi Garganico,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
128,,Lido Acqua Chiara,Lido Acqua Chiara s.a.s. di Brescia M. Serena,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,Via Alimini,snc,acquachiaraalimini@gmail.com,3382466059,,,www.lidoacquachiara.comALIMINI,,LiDO ACQUA CHIARA,stabilimento balneare con annesso bar tabacchi edicola,,,,,,,40.143898,18.491167,2022-09-27 00:00:00+02,3382466059,,,,,,,Percorsi,,,,,,,,Salento,,,,,,,,16,,,alimini,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
129,,Lido Adria,Lido Adria  s.n.c.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Lungomare IX Maggio,9,infolidoadria@gmail.com,,,,,,Lido Adria,"Lo stabilimentto balneare Lido Adria è una struttura ricettiva storica della città di Bari da più di 50 anni. Al'interno vengono forniti una serie di servizi come noleggio di ombrelloni, cabine spogliatoio, bar, edicola e piscine.",,,,,,,41.137447,16.825443,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Bari e la costa,,,,,,,,16,,,Bari,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
130,,Lido Adriatico,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,michelesterlicchio@libero.it,3938091734,,,,,lido adriatico,stabilimento balneare,,,,,,,41.38021,16.14408,2019-07-01 00:00:00+02,3938091734,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
131,,Lido Adriatico,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,Lungomare del Sole,55,isabella.surgo@libero.it,3490757957,,,,Inglese,lido adriatico,"lo stabilimento balneare sito in Siponto/Manfredonia offre una vasta gamma di servizi e comfort per trascorrere un' estate serena e divertente, dai più piccoli ai più grandi",https://dms.ect.regione.puglia.it/image/19822/foto1-19822.jpeg,https://dms.ect.regione.puglia.it/image/19822/foto2-19822.jpeg,https://dms.ect.regione.puglia.it/image/19822/foto3-19822.jpeg,,,,41.62248,15.90988,2022-09-15 00:00:00+02,3490757957,,,Telefonica,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,siponto,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
132,,LIDO ALBACHIARA,PIZZICHERIE ITALIANE SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075019,Castrignano del Capo,LUNGOMARE C. COLOMBO,SNC,ALBACHIARALEUCA@GMAIL.COM,0833821509,SANTA MARIA DI LEUCA,pizzicherieitalianesnc@pecimprese.it,,,,,,,,,,,,,2022-10-26 00:00:00+02,0833821509,,93.29.20,,,,Arredi fissi | Cucine | Pendenza rampa | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Balconi e terrazze | Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo | Servizi igienici,Pavimentazione,,Bar | Ristorante,Tipica | Italiana | Specialita' di mare | Mediterranea,,,,,Salento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,Lido Albatros,Lido Albatros Di Delvecchio Salvatore,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,"struttura balneare, ideale per famiglie e giovani",,,,,,,41.38021,16.14408,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
134,,Lido Albatros Club,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare Eroi del Mare,1,tecnostudio2012@gmail.com,,,,,,CLUB ALBATROS,"stabilimento balneare con annesse Ristorante, Pizzeria, Discoteca, bar, area spettacoli",,,,,,,,,2019-07-01 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Pendenza rampa,Percorsi | Pavimentazione | Segnaletica,Ciotola acqua | Ciotola croccantini,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Castellaneta Marina,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
135,,Lido Alborhé,Azzurra Service Coop A R.L.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075005,Andrano,Lungomare delle Agavi,,azzurraservicearl@gmail.com,,,,,,Alborhè Beach,"Lido ubicato sulla scogliera di Marina di Andrano, zona Grotta Verde.",,,,,,,39.96418,18.405907,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Marina di Andrano,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
136,,Lido Algamarina,Algamarina s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072029,Molfetta,S.S. 16 Km 779 Contrada Isola,s.n.c.,lidoalgamarina@gmail.com,0803341305,,algamarina@legalmail.it,,,Lido Algamarina,"Stabilimento balneare, piscina per adulti e per bambini, solarium, bar, campo di volley e basket,",,,,,,,,,2023-01-19 00:00:00+01,0803341305,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,Bar | Punto ristoro,Altro,,,,,Bari e la costa,,,,,,,,16,Bari,MOLFETTA,II Cala,,Privato scoperto gratuito,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
137,,Lido Altair,Lido Altair Di Piazzolla Rachele,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,via Barletta,,ass.asba@gmail.com,,,,,,,"struttura balneare, ideale per famiglie",,,,,,,41.368923,16.160545,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,Privato coperto gratuito | Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
138,,Lido America,Lido America Di Camporeale Annalisa & C. Sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Via Polibio,,ass.asba@gmail.com,,,,,,,struttura  balneare per famiglie e giovani,,,,,,,41.370914,16.16019,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
139,,Lido Apollo,Lido Apollo Di Russo Maria Rosaria &C.  Sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,struttura balneare per famiglie e giovani,,,,,,,41.37828,16.14751,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
140,,Lido Approdo,Hotel Mediterraneo di Notarangelo Giuseppe &C. sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare E. Mattei,s.n.,info@mediterraneo-hotel.it,0884707025,,,www.mediterraneo-hotel.it,,Lido Approdo,Stabilimento Balneare,,,,,,,41.8781,16.176327,2023-09-11 00:00:00+02,0884707025,,,,,,Servizi igienici | Pendenza rampa,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Scialara - Lung. Enrico Mattei,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
141,,Lido Apulia,Lido Apulia Di Damato Alessia s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,struttura balneare ideale per famiglie e giovani,,,,,,,41.38021,16.14408,2023-09-25 00:00:00+02,,,,,,,,,,Ristorante | Bar,Italiana | Specialita' di mare | Per altre esigenze specifiche | Gourmet,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
142,,Lido Arca di Noè,Lido Arca di Noè di Elefante Vincenzo,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074001,Brindisi,Torre Testa Località Apani,124/126,pietroelefante.berner@yahoo.it,3333100061,,,,,Lido Arca di Noe' S.r.l.,Esperienza quarantennale cortesia,,,,,,,40.69306,17.832897,2019-07-01 00:00:00+02,3333100061,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Apani,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
143,,Lido Arcobaleno,Camping Arcobaleno di Notarangelo G. & C. Snc,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare E. Mattei,snc,info@villaggioarcobaleno.it,,,,,,Giuseppe Notarangelo,lido con sabbia,,,,,,,41.865093,16.174398,2023-02-27 00:00:00+01,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Vieste,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
144,,Lido Arcobaleno,Cuttano srl,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,"SS 159 delle Saline Km 108,500 (Loc. IPPOCAMPO)",s.n.c.,Lido33.ippocampo@hotmail.com,3270613581,,,,,LIDO ARCOBALENO,Stabilimento balneare,,,,,,,41.51268,15.914099,2023-09-28 00:00:00+02,3270613581,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Manfredonia (loc. Ippocampo),,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
145,,Lido Arizona,Deluca A&C snc,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare E. Mattei  KM 2.5,,c.arizona@tin.it,,,,www.villaggioarizona.it,,Lido Arizona,"Stabilimento balneare con ombrellone e lettini, bar, tavola calda, beach volley, pedalò",,,,,,,,,2023-09-25 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi | Segnaletica,Spazio apposito per animali,,,,,,,Gargano e Daunia,,,,,,,,16,,,Località Scialara,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
146,,Lido Aurora,Chiefa Salvatore,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare del Mare,,tecnostudio2012@gmail.com,3290316213,,,,,LIDO AURORA,LIDO BALNEARE,,,,,,,,,2019-07-01 00:00:00+02,3290316213,,,,,,Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Servizi igienici | Balconi e terrazze | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Castellaneta Marina,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
147,,Lido Aurora,Lido Aurora di Salice Patrizia & C. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,Lungomare del Sole - Siponto,sn,info@lidoaurora.eu,3388347278,,,www.lidoaurora.eu,,LIDO AURORA,"LIDO:ampia spiaggia di sabbia finissima, ombrelloni ben distanziati, ampie e fresche cabine in muratura. 2 POSTAZIONI PRIMO SOCCORSO: grandi, ben  attrezzate, entrambi cardio-protette con defibrillatore, personale sanitario specializzato PARCHEGGIO: coperto e scoperto BAR:pub,tabacchi, edicola, sala giochi,gratta e vinci, ricariche telefoniche SPORT, EVENTI, ANIMAZIONE per grandi e piccoli RISTORANTE -PIZZERIA aperto tutto l'anno",,,,,,,41.61761,15.902192,2022-10-04 00:00:00+02,3388347278,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Servizi igienici | Cucine | Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Gargano e Daunia,,,,,,,,16,,,SIPONTO-Lungomare del Sole- 71043 MANFREDONIA (FG),,Privato coperto a pagamento | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
148,,lido azzurro,lido azzurro di martinelli mario,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071021,Chieuti,via nettuno,snc,lidoazzurro.mario@gmail.com,3386363772,,lidoazzurro.mario@pec.it,,,,,,,,,,,,,2023-09-28 00:00:00+02,3386363772,https://www.dms.puglia.it/digitalmanagementsystem/image/49701/logo-49701.png?type=logo,,,,,Servizi igienici | Pendenza rampa | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pavimenti non sdrucciolevoli,Percorsi | Pavimentazione,Ciotola acqua | Spazio apposito per animali,Bar | Ristorante,Per celiaci | Tipica,,,,,Gargano e Daunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,Lido Azzurro,Lido Azzurro di De Nittis Lucia,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,S.P.53 Vieste/Mattinata KM 5,,bioagrilaruota@tiscali.it,,,,www.bioagrilaruota.it,,LIDO AZZURRO,Stabilimento adatto a tutti,,,,,,,41.882477,16.176748,2022-09-15 00:00:00+02,,,,,,,Pavimenti non sdrucciolevoli | Arredi fissi | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,"Lago chiaro, portonuovo",,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
150,,Lido Azzurro,Lido Azzurro di Serio Domenico & C. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074001,Brindisi,Via Torre Testa,132,lidoazzurrobrindisi@yahoo.it,,,,,,Domenico di Serio,Stabilimento balneare con annesso bar-Tavola calda e parcheggio auto,,,,,,,40.69276,17.833757,2022-11-17 00:00:00+01,,,,,,,Porte di accesso facilmente manovrabili | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Parcheggi | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,Apani a Mare (Brindisi),,Privato coperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
151,,Lido Azzurro,Lido Azzurro s.a.s. di Galati Andrea & co.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075019,Castrignano del Capo,Lungomare Cristoforo Colombo,,lidoazzurro.leuca@alice.it,3335006098 - 3886534361,,,www.lidoazzurro.org,,Lido Azzurro,Stabilimento Balneare con annesso Bar e Ristorante,,,,,,,39.796024,18.352589,2022-09-30 00:00:00+02,3335006098 - 3886534361,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Cucine | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa | Autorimesse,Percorsi | Pavimentazione | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,Santa Maria di Leuca,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
152,,Lido Azzurro,Lido Azzurro s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072022,Giovinazzo,Località Trincea - Lungomare Marina Italiana,,lidoazzurro.giov@libero.it,0803946625,,,www.lidoazzurrogiovinazzo.it,,Lido Azzurro,Stabilimento Balneare,,,,,,,41.190678,16.665335,2023-01-19 00:00:00+01,0803946625,,,,,,Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Servoscala e piattaforma elevatrice | Autorimesse,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Bari e la costa,,,,,,,,16,,,Giovinazzo,,Custodito | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
